Date,Forecast,Lower_95,Upper_95
2024-01-02,4764.37189126777,4669.2964801984435,4859.447302337096
2024-01-03,4773.382289780667,4644.204060394148,4902.560519167186
2024-01-04,4767.859381358339,4609.673205167662,4926.045557549017
2024-01-05,4775.10942527134,4592.306430631201,4957.912419911479
2024-01-08,4772.750248021487,4569.885508682355,4975.614987360619
2024-01-09,4775.983869476753,4552.205123531527,4999.76261542198
2024-01-10,4777.897259625884,4537.9555919768845,5017.838927274883
2024-01-11,4777.164892442693,4519.087832144893,5035.241952740493
2024-01-12,4782.275446665326,4509.785142727675,5054.765750602977
2024-01-16,4779.429780351747,4491.300270572818,5067.559290130675
2024-01-17,4785.425088764642,4483.627817846534,5087.222359682751
2024-01-18,4782.898244238979,4467.565799254366,5098.230689223592
2024-01-19,4787.543919020287,4458.976694668149,5116.1111433724245
2024-01-22,4787.11488891278,4446.551539758124,5127.678238067436
2024-01-23,4789.259582832177,4435.987962357822,5142.531203306533
2024-01-24,4791.377346846436,4427.056236450061,5155.698457242811
2024-01-25,4791.253062807403,4414.974117272507,5167.5320083422985
2024-01-26,4795.10884149676,4408.25807704314,5181.95960595038
2024-01-29,4793.9362871857375,4396.015938192168,5191.856636179307
2024-01-30,4798.095619408957,4389.820019690138,5206.3712191277755
2024-01-31,4797.319976769084,4378.824700209512,5215.815253328656
2024-02-01,4800.508917175,4371.825539838344,5229.192294511655
2024-02-02,4801.092446505336,4362.856666528886,5239.328226481785
2024-02-05,4802.7463739618115,4354.5832192946655,5250.909528628958
2024-02-06,4804.829332640813,4347.546273836937,5262.112391444689
2024-02-07,4805.203045052784,4338.38341934424,5272.022670761327
2024-02-08,4808.211068845012,4332.507400657799,5283.914737032225
2024-02-09,4808.091368707384,4323.317592576901,5292.865144837868
2024-02-12,4811.147090508295,4317.620315068149,5304.673865948442
2024-02-13,4811.382163158255,4309.235901954242,5313.528424362268
2024-02-14,4813.769454631683,4302.994432070673,5324.544477192694
2024-02-15,4814.868372989298,4295.8351649180995,5333.901581060497
2024-02-16,4816.326034692488,4288.845096388855,5343.806972996121
2024-02-20,4818.2968190704205,4282.803390252486,5353.790247888355
2024-02-21,4819.043060226337,4275.350579110577,5362.735541342096
2024-02-22,4821.493544442988,4269.939307405783,5373.047781480193
2024-02-23,4822.026227104756,4262.556909323661,5381.495544885851
2024-02-26,4824.4267989968,4257.199580162802,5391.654017830799
2024-02-27,4825.237532299137,4250.366224229995,5400.108840368278
2024-02-28,4827.191883949367,4244.669136788488,5409.714631110247
2024-02-29,4828.5426235042105,4238.596715134834,5418.488531873587
2024-03-01,4829.941085415778,4232.482567066956,5427.399603764599
2024-03-04,4831.792309860409,4227.069886198956,5436.514733521862
2024-03-05,4832.802178874589,4220.740346460327,5444.8640112888515
2024-03-06,4834.893849929776,4215.678753062484,5454.108946797067
2024-03-07,4835.825138972919,4209.458876704773,5462.191401241066
2024-03-08,4837.841565276515,4204.410653757075,5471.272476795955
2024-03-11,4838.975528262303,4198.570747144124,5479.380309380482
2024-03-12,4840.701272462092,4193.32421308084,5488.078331843343
2024-03-13,4842.167848360784,4187.964508422721,5496.371188298846
2024-03-14,4843.565283919846,4182.499893469567,5504.630674370124
2024-03-15,4845.31527220716,4177.536906218194,5513.0936381961255
2024-03-18,4846.5046860116245,4171.991489699272,5521.017882323977
2024-03-19,4848.369608243062,4167.230957677404,5529.508258808721
2024-03-20,4849.541275100235,4161.800444856379,5537.282105344091
2024-03-21,4851.3352675237065,4157.045739175119,5545.624795872294
2024-03-22,4852.647877970071,4151.88011443057,5553.415641509572
2024-03-25,4854.256273294643,4147.019413123068,5561.493133466217
2024-03-26,4855.770988456309,4142.161679669945,5569.380297242673
2024-03-27,4857.187874720675,4137.198562283178,5577.177187158171
2024-03-28,4858.860717796551,4132.585144623698,5585.136290969404
2024-04-01,4860.168951544767,4127.610447787061,5592.727455302473
2024-04-02,4861.892843148323,4123.120175892814,5600.665510403832
2024-04-03,4863.207657971076,4118.25022179201,5608.165094150141
2024-04-04,4864.874524836698,4113.769486697201,5615.979562976195
2024-04-05,4866.284105646536,4109.085838052191,5623.48237324088
2024-04-08,4867.834486197025,4104.556863598509,5631.112108795542
2024-04-09,4869.365304621468,4100.074664860505,5638.65594438243
2024-04-10,4870.805386107919,4095.50839708205,5646.102375133787
2024-04-11,4872.422975742792,4091.1816986518925,5653.6642528336915
2024-04-12,4873.808070191138,4086.636817151733,5660.979323230542
2024-04-15,4875.445493723804,4082.3907246659164,5668.500262781692
2024-04-16,4876.844507216576,4077.935421994065,5675.753592439087
2024-04-17,4878.439726429027,4073.7048271135463,5683.174625744508
2024-04-18,4879.900827396369,4069.38236357556,5690.419291217178
2024-04-19,4881.424037573275,4065.1382243890484,5697.709850757502
2024-04-22,4882.956966316607,4060.951140556152,5704.962792077062
2024-04-23,4884.41749469888,4056.704919941463,5712.130069456297
2024-04-24,4885.997128349766,4052.621184619915,5719.3730720796175
2024-04-25,4887.431006931389,4048.4099803587887,5726.452033503989
2024-04-26,4889.016115958409,4044.383685194237,5733.64854672258
2024-04-29,4890.4640406760345,4040.246862883085,5740.681218468984
2024-04-30,4892.019494364617,4036.2409905702066,5747.797998159027
2024-05-01,4893.507250749931,4032.200740063479,5754.813761436382
2024-05-02,4895.018802414077,4028.201187227128,5761.836417601026
2024-05-03,4896.548590202757,4024.255035674735,5768.842144730778
