Date,Actual,Forecast
2024-01-02,4742.830078125,4764.37189126777
2024-01-03,4704.81005859375,4773.382289780667
2024-01-04,4688.68017578125,4767.859381358339
2024-01-05,4697.240234375,4775.10942527134
2024-01-08,4763.5400390625,4772.750248021487
2024-01-09,4756.5,4775.983869476753
2024-01-10,4783.4501953125,4777.897259625884
2024-01-11,4780.240234375,4777.164892442693
2024-01-12,4783.830078125,4782.275446665326
2024-01-16,4765.97998046875,4779.429780351747
2024-01-17,4739.2099609375,4785.425088764642
2024-01-18,4780.93994140625,4782.898244238979
2024-01-19,4839.81005859375,4787.543919020287
2024-01-22,4850.43017578125,4787.11488891278
2024-01-23,4864.60009765625,4789.259582832177
2024-01-24,4868.5498046875,4791.377346846436
2024-01-25,4894.16015625,4791.253062807403
2024-01-26,4890.97021484375,4795.10884149676
2024-01-29,4927.93017578125,4793.9362871857375
2024-01-30,4924.97021484375,4798.095619408957
2024-01-31,4845.64990234375,4797.319976769084
2024-02-01,4906.18994140625,4800.508917175
2024-02-02,4958.60986328125,4801.092446505336
2024-02-05,4942.81005859375,4802.746373961812
2024-02-06,4954.22998046875,4804.829332640813
2024-02-07,4995.06005859375,4805.203045052784
2024-02-08,4997.91015625,4808.211068845012
2024-02-09,5026.60986328125,4808.091368707384
2024-02-12,5021.83984375,4811.147090508295
2024-02-13,4953.169921875,4811.382163158255
2024-02-14,5000.6201171875,4813.769454631683
2024-02-15,5029.72998046875,4814.868372989298
2024-02-16,5005.56982421875,4816.326034692488
2024-02-20,4975.509765625,4818.2968190704205
2024-02-21,4981.7998046875,4819.043060226337
2024-02-22,5087.02978515625,4821.493544442988
2024-02-23,5088.7998046875,4822.026227104756
2024-02-26,5069.52978515625,4824.4267989968
2024-02-27,5078.18017578125,4825.237532299137
2024-02-28,5069.759765625,4827.191883949367
2024-02-29,5096.27001953125,4828.5426235042105
2024-03-01,5137.080078125,4829.941085415778
2024-03-04,5130.9501953125,4831.792309860409
2024-03-05,5078.64990234375,4832.802178874589
2024-03-06,5104.759765625,4834.893849929776
2024-03-07,5157.35986328125,4835.825138972919
2024-03-08,5123.68994140625,4837.841565276515
2024-03-11,5117.93994140625,4838.975528262303
2024-03-12,5175.27001953125,4840.701272462092
2024-03-13,5165.31005859375,4842.167848360784
2024-03-14,5150.47998046875,4843.565283919846
2024-03-15,5117.08984375,4845.31527220716
2024-03-18,5149.419921875,4846.5046860116245
2024-03-19,5178.509765625,4848.369608243062
2024-03-20,5224.6201171875,4849.541275100235
2024-03-21,5241.52978515625,4851.3352675237065
2024-03-22,5234.18017578125,4852.647877970071
2024-03-25,5218.18994140625,4854.256273294643
2024-03-26,5203.580078125,4855.770988456309
2024-03-27,5248.490234375,4857.187874720675
2024-03-28,5254.35009765625,4858.860717796551
2024-04-01,5243.77001953125,4860.168951544767
2024-04-02,5205.81005859375,4861.892843148323
2024-04-03,5211.490234375,4863.207657971076
2024-04-04,5147.2099609375,4864.874524836698
2024-04-05,5204.33984375,4866.284105646536
2024-04-08,5202.39013671875,4867.834486197025
