Date,AAPL,AMZN,BRK-B,GOOGL,JNJ,JPM,META,MSFT,TSLA,V
2022-10-31,153.33999633789062,102.44000244140625,295.0899963378906,94.51000213623047,173.97000122070312,125.87999725341797,93.16000366210938,232.1300048828125,227.5399932861328,207.16000366210938
2022-11-01,150.64999389648438,96.79000091552734,294.1300048828125,90.47000122070312,173.08999633789062,128.14999389648438,95.19999694824219,228.1699981689453,227.82000732421875,206.92999267578125
2022-11-02,145.02999877929688,92.12000274658203,289.4599914550781,86.97000122070312,170.42999267578125,126.97000122070312,90.54000091552734,220.10000610351562,214.97999572753906,200.9499969482422
2022-11-03,138.8800048828125,89.30000305175781,283.8500061035156,83.43000030517578,170.72000122070312,127.19999694824219,88.91000366210938,214.25,215.30999755859375,194.75
2022-11-04,138.3800048828125,90.9800033569336,287.4700012207031,86.58000183105469,171.47999572753906,130.67999267578125,90.79000091552734,221.38999938964844,207.47000122070312,196.97999572753906
2022-11-07,138.9199981689453,90.52999877929688,290.19000244140625,88.48999786376953,172.97999572753906,131.3699951171875,96.72000122070312,227.8699951171875,197.0800018310547,200.10000610351562
2022-11-08,139.5,89.9800033569336,292.6099853515625,88.9000015258789,173.83999633789062,131.4499969482422,96.47000122070312,228.8699951171875,191.3000030517578,201.77999877929688
2022-11-09,134.8699951171875,86.13999938964844,288.6499938964844,87.31999969482422,172.4499969482422,129.74000549316406,101.47000122070312,224.50999450683594,177.58999633789062,193.92999267578125
2022-11-10,146.8699951171875,96.62999725341797,303.20001220703125,93.94000244140625,174.47000122070312,135.0800018310547,111.87000274658203,242.97999572753906,190.72000122070312,205.57000732421875
2022-11-11,149.6999969482422,100.79000091552734,309.7200012207031,96.41000366210938,169.25,135.3000030517578,113.0199966430664,247.11000061035156,195.97000122070312,205.0
2022-11-14,148.27999877929688,98.48999786376953,308.9100036621094,95.69999694824219,171.91000366210938,133.91000366210938,114.22000122070312,241.5500030517578,190.9499969482422,206.86000061035156
2022-11-15,150.0399932861328,98.94000244140625,309.9800109863281,98.44000244140625,172.38999938964844,132.94000244140625,117.08000183105469,241.97000122070312,194.4199981689453,209.99000549316406
2022-11-16,148.7899932861328,97.12000274658203,308.760009765625,98.8499984741211,173.4600067138672,133.1199951171875,113.2300033569336,241.72999572753906,186.9199981689453,210.13999938964844
2022-11-17,150.72000122070312,94.8499984741211,307.44000244140625,98.36000061035156,174.86000061035156,132.5399932861328,111.44999694824219,241.67999267578125,183.1699981689453,210.99000549316406
2022-11-18,151.2899932861328,94.13999938964844,310.760009765625,97.43000030517578,176.1999969482422,133.83999633789062,112.05000305175781,241.22000122070312,180.19000244140625,210.8000030517578
2022-11-21,148.00999450683594,92.45999908447266,311.20001220703125,95.5999984741211,175.97000122070312,133.0500030517578,109.86000061035156,242.0500030517578,167.8699951171875,206.32000732421875
2022-11-22,150.17999267578125,93.19999694824219,315.760009765625,97.05000305175781,176.82000732421875,135.0399932861328,111.44000244140625,245.02999877929688,169.91000366210938,210.3300018310547
2022-11-23,151.07000732421875,94.12999725341797,316.17999267578125,98.45999908447266,177.00999450683594,136.47999572753906,112.23999786376953,247.5800018310547,183.1999969482422,211.72999572753906
2022-11-25,148.11000061035156,93.41000366210938,317.42999267578125,97.45999908447266,177.24000549316406,136.74000549316406,111.41000366210938,247.49000549316406,182.86000061035156,213.7899932861328
2022-11-28,144.22000122070312,93.94999694824219,313.2699890136719,96.05000305175781,177.3300018310547,134.35000610351562,108.77999877929688,241.75999450683594,182.9199981689453,211.25999450683594
2022-11-29,141.1699981689453,92.41999816894531,315.1300048828125,95.19000244140625,176.08999633789062,136.55999755859375,109.45999908447266,240.3300018310547,180.8300018310547,209.05999755859375
2022-11-30,148.02999877929688,96.54000091552734,318.6000061035156,100.98999786376953,178.0,138.17999267578125,118.0999984741211,255.13999938964844,194.6999969482422,217.0
2022-12-01,148.30999755859375,95.5,315.8399963378906,100.98999786376953,178.74000549316406,136.24000549316406,120.44000244140625,254.69000244140625,194.6999969482422,217.0
2022-12-02,147.80999755859375,94.12999725341797,316.1499938964844,100.44000244140625,178.8800048828125,135.16000366210938,123.48999786376953,255.02000427246094,194.86000061035156,217.66000366210938
2022-12-05,146.6300048828125,91.01000213623047,310.57000732421875,99.4800033569336,178.77999877929688,131.3699951171875,122.43000030517578,250.1999969482422,182.4499969482422,213.67999267578125
2022-12-06,142.91000366210938,88.25,307.7799987792969,96.9800033569336,176.10000610351562,131.58999633789062,114.12000274658203,245.1199951171875,179.82000732421875,209.0800018310547
2022-12-07,140.94000244140625,88.45999908447266,305.82000732421875,94.94000244140625,177.1699981689453,131.5,113.93000030517578,244.3699951171875,174.0399932861328,207.80999755859375
2022-12-08,142.64999389648438,90.3499984741211,305.989990234375,93.70999908447266,177.1999969482422,132.8800048828125,115.33000183105469,247.39999389648438,173.44000244140625,209.10000610351562
2022-12-09,142.16000366210938,89.08999633789062,306.3900146484375,92.83000183105469,175.74000549316406,132.16000366210938,115.9000015258789,245.4199981689453,179.0500030517578,208.6999969482422
2022-12-12,144.49000549316406,90.55000305175781,311.45001220703125,93.30999755859375,177.83999633789062,134.2100067138672,114.70999908447266,252.50999450683594,167.82000732421875,214.58999633789062
2022-12-13,145.47000122070312,92.48999786376953,312.3299865722656,95.62999725341797,179.2100067138672,134.0800018310547,120.1500015258789,256.9200134277344,160.9499969482422,213.0399932861328
2022-12-14,143.2100067138672,91.58000183105469,309.2900085449219,95.06999969482422,179.75999450683594,133.41000366210938,121.58999633789062,257.2200012207031,156.8000030517578,213.32000732421875
