Date,Forecast,Lower_95,Upper_95
2025-09-16,6617.141704292118,6480.268920090851,6754.014488493386
2025-09-17,6639.952283448269,6445.120925371551,6834.783641524987
2025-09-18,6642.314517038246,6387.638949419863,6896.990084656629
2025-09-19,6632.77675489658,6333.029560612901,6932.5239491802595
2025-09-22,6642.69142505311,6311.531349753077,6973.851500353143
2025-09-23,6657.438359943392,6293.249951367519,7021.626768519265
2025-09-24,6655.276171627023,6255.624771662407,7054.92757159164
2025-09-25,6653.367939032542,6224.93600778887,7081.799870276215
2025-09-26,6665.062384265913,6211.773735813958,7118.351032717868
2025-09-29,6673.205724956041,6192.663898604825,7153.747551307258
2025-09-30,6671.229502949197,6163.635041655708,7178.823964242686
2025-10-01,6674.612236576905,6143.907905558079,7205.316567595732
2025-10-02,6684.8549663825615,6131.848076474958,7237.861856290165
2025-10-03,6689.079482007143,6112.289160696823,7265.869803317463
2025-10-06,6689.24038577483,6089.853295550315,7288.627475999346
2025-10-07,6695.264454349499,6075.391601410509,7315.137307288489
2025-10-08,6703.130368590749,6062.5353995647165,7343.725337616781
2025-10-09,6705.804912441655,6043.955417877822,7367.654407005488
2025-10-10,6708.26789345815,6026.419417072041,7390.116369844259
2025-10-13,6714.978329838451,6014.08483023883,7415.8718294380715
2025-10-14,6720.8149886345,6000.471858294661,7441.158118974339
2025-10-15,6723.433981691951,5983.7140921192195,7463.1538712646825
2025-10-16,6727.550573693481,5969.415690921583,7485.6854564653795
2025-10-17,6733.899162558286,5957.673951259648,7510.124373856924
2025-10-20,6738.488456279857,5943.918399802776,7533.058512756938
2025-10-21,6741.706693303942,5929.130841467593,7554.282545140291
2025-10-22,6746.68394915127,5916.714317369008,7576.653580933532
2025-10-23,6752.336559047553,5905.025753967495,7599.647364127612
2025-10-24,6756.4014963826285,5891.692655020923,7621.110337744334
2025-10-27,6760.311166955432,5878.586875029317,7642.035458881547
2025-10-28,6765.542109648202,5867.13939602702,7663.944823269385
