Price,Adj Close,Close,High,Low,Open,Volume
Ticker,XAUT-USD,XAUT-USD,XAUT-USD,XAUT-USD,XAUT-USD,XAUT-USD
Date,,,,,,
2022-10-31,1631.202880859375,1631.202880859375,1643.467529296875,1630.8934326171875,1641.5242919921875,207153
2022-11-01,1644.374267578125,1644.374267578125,1651.8690185546875,1631.1590576171875,1631.9090576171875,111488
2022-11-02,1636.462158203125,1636.462158203125,1660.5467529296875,1632.1234130859375,1644.4825439453125,215013
2022-11-03,1633.365966796875,1633.365966796875,1645.299560546875,1623.38623046875,1636.3812255859375,665375
2022-11-04,1678.8326416015625,1678.8326416015625,1679.7894287109375,1630.1181640625,1633.358154296875,351811
2022-11-05,1680.1669921875,1680.1669921875,1683.23486328125,1677.3072509765625,1678.77685546875,165554
2022-11-06,1672.4932861328125,1672.4932861328125,1682.275634765625,1672.2288818359375,1680.2156982421875,254833
2022-11-07,1670.84375,1670.84375,1677.2413330078125,1664.1085205078125,1672.5040283203125,591184
2022-11-08,1703.206298828125,1703.206298828125,1713.795166015625,1661.4918212890625,1670.833251953125,1202616
2022-11-09,1706.2513427734375,1706.2513427734375,1713.7991943359375,1684.9000244140625,1703.2701416015625,768053
2022-11-10,1737.30859375,1737.30859375,1744.652587890625,1691.752197265625,1703.7503662109375,782413
2022-11-11,1737.694091796875,1737.694091796875,1751.763916015625,1723.7191162109375,1737.1505126953125,236062
2022-11-12,1753.500732421875,1753.500732421875,1768.3941650390625,1736.3138427734375,1742.1448974609375,668808
2022-11-13,1752.97705078125,1752.97705078125,1766.36572265625,1727.5042724609375,1752.2200927734375,1054896
2022-11-14,1751.52001953125,1751.52001953125,1758.2821044921875,1740.12060546875,1752.858642578125,176795
2022-11-15,1763.64697265625,1763.64697265625,1769.3182373046875,1750.3299560546875,1754.2099609375,150765
2022-11-16,1767.015380859375,1767.015380859375,1770.748779296875,1752.895751953125,1764.3441162109375,128792
2022-11-17,1755.658447265625,1755.658447265625,1768.85498046875,1751.657470703125,1767.5802001953125,86986
2022-11-18,1751.4447021484375,1751.4447021484375,1759.5821533203125,1742.60009765625,1755.666015625,107909
2022-11-19,1746.7625732421875,1746.7625732421875,1751.60791015625,1741.3770751953125,1751.4251708984375,86865
2022-11-20,1741.102783203125,1741.102783203125,1748.5928955078125,1734.6964111328125,1746.67724609375,290166
2022-11-21,1733.3310546875,1733.3310546875,1741.0213623046875,1724.6099853515625,1740.9608154296875,281773
2022-11-22,1732.618408203125,1732.618408203125,1739.4371337890625,1727.2576904296875,1733.0267333984375,190181
2022-11-23,1740.1923828125,1740.1923828125,1743.0330810546875,1725.21630859375,1733.134521484375,264904
2022-11-24,1745.8360595703125,1745.8360595703125,1752.54736328125,1735.6622314453125,1741.5078125,246574
2022-11-25,1744.7724609375,1744.7724609375,1747.6788330078125,1734.2091064453125,1745.2275390625,340354
2022-11-26,1741.1884765625,1741.1884765625,1746.2265625,1735.0489501953125,1743.727294921875,318408
2022-11-27,1744.72900390625,1744.72900390625,1748.745849609375,1737.9239501953125,1742.304931640625,115769
2022-11-28,1736.0386962890625,1736.0386962890625,1749.520751953125,1733.63427734375,1743.383056640625,157131
2022-11-29,1740.792236328125,1740.792236328125,1746.521240234375,1730.224609375,1736.7315673828125,212528
2022-11-30,1750.0814208984375,1750.0814208984375,1752.521728515625,1738.6859130859375,1739.74560546875,215709
2022-12-01,1777.870849609375,1777.870849609375,1779.0263671875,1744.07763671875,1751.3721923828125,707323
2022-12-02,1778.9859619140625,1778.9859619140625,1784.9351806640625,1769.9862060546875,1777.909912109375,411030
2022-12-03,1781.4462890625,1781.4462890625,1783.3089599609375,1772.509765625,1779.07763671875,108713
2022-12-04,1785.4234619140625,1785.4234619140625,1786.6468505859375,1778.038330078125,1782.7711181640625,103129
2022-12-05,1765.9400634765625,1765.9400634765625,1790.017578125,1761.2664794921875,1782.1187744140625,187747
2022-12-06,1762.0498046875,1762.0498046875,1767.6427001953125,1756.1846923828125,1765.7855224609375,124016
2022-12-07,1772.64697265625,1772.64697265625,1777.7655029296875,1753.8939208984375,1762.052734375,735264
2022-12-08,1776.567626953125,1776.567626953125,1781.0262451171875,1768.9700927734375,1776.4373779296875,249754
2022-12-09,1784.946533203125,1784.946533203125,1792.0052490234375,1774.1068115234375,1776.516845703125,189181
2022-12-10,1783.870849609375,1783.870849609375,1791.5970458984375,1779.0025634765625,1784.9080810546875,120544
2022-12-11,1779.83056640625,1779.83056640625,1787.374267578125,1773.919189453125,1782.89306640625,314744
2022-12-12,1763.8450927734375,1763.8450927734375,1780.435791015625,1756.967529296875,1779.5667724609375,309299
2022-12-13,1788.6239013671875,1788.6239013671875,1791.849853515625,1751.7691650390625,1761.072021484375,900735
2022-12-14,1789.147216796875,1789.147216796875,1802.6051025390625,1781.3052978515625,1790.47119140625,391198
2022-12-15,1770.8558349609375,1770.8558349609375,1792.875244140625,1759.8372802734375,1788.402587890625,255336
2022-12-16,1789.5025634765625,1789.5025634765625,1791.3035888671875,1755.0447998046875,1770.8765869140625,473552
2022-12-17,1777.9395751953125,1777.9395751953125,1793.6351318359375,1771.1451416015625,1789.794189453125,249986
2022-12-18,1775.9632568359375,1775.9632568359375,1783.0994873046875,1771.6318359375,1776.688720703125,316436
2022-12-19,1772.082763671875,1772.082763671875,1780.6710205078125,1763.958984375,1774.5633544921875,281159
2022-12-20,1794.986572265625,1794.986572265625,1800.5721435546875,1765.7398681640625,1772.5455322265625,1728120
2022-12-21,1796.8656005859375,1796.8656005859375,1802.662353515625,1786.091796875,1795.390625,722036
2022-12-22,1777.4622802734375,1777.4622802734375,1801.548095703125,1769.743896484375,1795.684814453125,799490
2022-12-23,1782.703369140625,1782.703369140625,1785.7540283203125,1771.98583984375,1776.0380859375,800658
2022-12-24,1786.00634765625,1786.00634765625,1788.85302734375,1779.4521484375,1781.17626953125,252676
2022-12-25,1788.91845703125,1788.91845703125,1789.8759765625,1782.2744140625,1786.8558349609375,298072
2022-12-26,1791.882080078125,1791.882080078125,1798.818359375,1783.4134521484375,1788.847900390625,482381
2022-12-27,1796.8753662109375,1796.8753662109375,1807.39013671875,1786.4586181640625,1793.1754150390625,515390
2022-12-28,1804.7249755859375,1804.7249755859375,1818.003173828125,1789.9249267578125,1796.2298583984375,1525675
2022-12-29,1813.8289794921875,1813.8289794921875,1818.02001953125,1798.7457275390625,1803.65087890625,1411957
2022-12-30,1817.151123046875,1817.151123046875,1817.6298828125,1805.944091796875,1813.7154541015625,875749
2022-12-31,1814.804931640625,1814.804931640625,1817.6597900390625,1811.869384765625,1817.19091796875,228027
2023-01-01,1817.2100830078125,1817.2100830078125,1818.83447265625,1810.7501220703125,1815.0234375,146364
2023-01-02,1817.010986328125,1817.010986328125,1819.8570556640625,1812.610595703125,1817.2166748046875,577827
2023-01-03,1833.5185546875,1833.5185546875,1835.1619873046875,1813.375,1817.20849609375,961512
2023-01-04,1850.59423828125,1850.59423828125,1850.6763916015625,1831.0830078125,1833.855712890625,620667
2023-01-05,1830.7003173828125,1830.7003173828125,1851.337646484375,1829.375,1850.0955810546875,565213
2023-01-06,1841.61279296875,1841.61279296875,1844.9619140625,1823.878662109375,1830.76904296875,1269176
2023-01-07,1846.0186767578125,1846.0186767578125,1847.2952880859375,1836.5477294921875,1840.7330322265625,348003
2023-01-08,1846.9464111328125,1846.9464111328125,1849.6500244140625,1837.9947509765625,1846.58984375,786185
2023-01-09,1862.476806640625,1862.476806640625,1866.1143798828125,1845.0714111328125,1847.35693359375,1881348
2023-01-10,1880.6171875,1880.6171875,1883.408203125,1860.882080078125,1862.4647216796875,1071980
2023-01-11,1874.1728515625,1874.1728515625,1883.1328125,1868.0096435546875,1880.744140625,505965
2023-01-12,1889.7864990234375,1889.7864990234375,1895.061767578125,1871.9876708984375,1876.4962158203125,1411248
2023-01-13,1900.856689453125,1900.856689453125,1903.4796142578125,1885.268798828125,1890.15869140625,360811
2023-01-14,1904.355224609375,1904.355224609375,1912.1195068359375,1889.4268798828125,1901.3206787109375,170957
2023-01-15,1910.0281982421875,1910.0281982421875,1917.4100341796875,1900.52294921875,1904.663818359375,185191
2023-01-16,1908.169921875,1908.169921875,1917.072265625,1902.974853515625,1910.2554931640625,228628
2023-01-17,1887.3939208984375,1887.3939208984375,1909.8443603515625,1877.98681640625,1908.19970703125,693384
2023-01-18,1891.6939697265625,1891.6939697265625,1899.1312255859375,1872.02880859375,1886.23779296875,460319
2023-01-19,1911.4483642578125,1911.4483642578125,1914.798828125,1887.6007080078125,1891.6787109375,726888
2023-01-20,1921.1610107421875,1921.1610107421875,1930.56396484375,1910.8787841796875,1911.5042724609375,971757
2023-01-21,1920.378173828125,1920.378173828125,1923.9522705078125,1911.345703125,1921.6741943359375,522013
2023-01-22,1915.1656494140625,1915.1656494140625,1921.8382568359375,1909.535400390625,1920.6905517578125,238549
2023-01-23,1922.0194091796875,1922.0194091796875,1923.5921630859375,1907.863037109375,1915.1402587890625,627239
2023-01-24,1921.0108642578125,1921.0108642578125,1927.3880615234375,1913.645263671875,1921.73828125,745473
2023-01-25,1921.962158203125,1921.962158203125,1925.527099609375,1909.8638916015625,1921.038818359375,1152159
2023-01-26,1907.513427734375,1907.513427734375,1933.74267578125,1896.2301025390625,1921.6434326171875,458919
2023-01-27,1913.920654296875,1913.920654296875,1915.1314697265625,1899.880615234375,1907.963623046875,538038
2023-01-28,1914.524658203125,1914.524658203125,1914.524658203125,1903.7637939453125,1914.3662109375,667538
2023-01-29,1911.13916015625,1911.13916015625,1919.02099609375,1894.6671142578125,1914.2471923828125,607625
2023-01-30,1913.7872314453125,1913.7872314453125,1924.4822998046875,1902.106689453125,1910.885498046875,978476
2023-01-31,1916.6795654296875,1916.6795654296875,1920.58056640625,1899.5504150390625,1912.7359619140625,1745533
2023-02-01,1931.7760009765625,1931.7760009765625,1934.66552734375,1908.6871337890625,1917.0579833984375,2218703
2023-02-02,1912.1180419921875,1912.1180419921875,1943.4022216796875,1908.43408203125,1931.411376953125,1411312
2023-02-03,1868.218994140625,1868.218994140625,1917.0496826171875,1867.1256103515625,1912.8055419921875,1386383
2023-02-04,1863.8359375,1863.8359375,1871.9256591796875,1861.10107421875,1868.1689453125,1698778
2023-02-05,1862.619384765625,1862.619384765625,1866.5533447265625,1860.0281982421875,1864.0321044921875,1679208
2023-02-06,1864.0443115234375,1864.0443115234375,1871.700439453125,1861.7672119140625,1862.6094970703125,1359617
2023-02-07,1869.359375,1869.359375,1872.55712890625,1861.26025390625,1864.0234375,1978028
2023-02-08,1869.5631103515625,1869.5631103515625,1876.517822265625,1863.2342529296875,1869.039306640625,1632172
2023-02-09,1858.24365234375,1858.24365234375,1871.5147705078125,1852.4144287109375,1869.901123046875,1323724
2023-02-10,1856.0023193359375,1856.0023193359375,1859.7802734375,1848.7003173828125,1857.6973876953125,1278933
2023-02-11,1851.629638671875,1851.629638671875,1858.1837158203125,1847.2459716796875,1856.00341796875,1446181
2023-02-12,1854.761474609375,1854.761474609375,1854.804443359375,1842.3095703125,1850.22802734375,1383452
2023-02-13,1844.437744140625,1844.437744140625,1855.5350341796875,1836.5618896484375,1855.447998046875,1691186
2023-02-14,1847.8843994140625,1847.8843994140625,1856.130126953125,1842.430908203125,1844.1822509765625,2963471
2023-02-15,1840.4429931640625,1840.4429931640625,1865.514892578125,1834.1903076171875,1848.271240234375,1713025
2023-02-16,1832.1343994140625,1832.1343994140625,1844.4400634765625,1813.863525390625,1840.60302734375,1715543
2023-02-17,1837.308837890625,1837.308837890625,1843.5311279296875,1820.377685546875,1831.69873046875,1839838
2023-02-18,1841.3309326171875,1841.3309326171875,1841.998291015625,1834.8585205078125,1837.9886474609375,1682095
2023-02-19,1836.68798828125,1836.68798828125,1851.7220458984375,1836.68798828125,1841.5128173828125,1682383
2023-02-20,1839.41552734375,1839.41552734375,1844.2957763671875,1835.5477294921875,1837.5408935546875,1717797
2023-02-21,1837.796630859375,1837.796630859375,1843.0347900390625,1832.138671875,1839.64794921875,1471621
2023-02-22,1829.2611083984375,1829.2611083984375,1842.1580810546875,1828.197021484375,1837.40625,1456861
2023-02-23,1825.462646484375,1825.462646484375,1835.041748046875,1822.7786865234375,1829.41015625,3722460
2023-02-24,1809.7342529296875,1809.7342529296875,1825.5238037109375,1808.386474609375,1825.2864990234375,2817713
2023-02-25,1811.6849365234375,1811.6849365234375,1832.511474609375,1808.9989013671875,1809.8568115234375,1659700
2023-02-26,1810.0860595703125,1810.0860595703125,1812.537109375,1807.4964599609375,1811.491455078125,1250065
2023-02-27,1812.4954833984375,1812.4954833984375,1814.675048828125,1808.0728759765625,1809.923095703125,1906721
2023-02-28,1822.5072021484375,1822.5072021484375,1826.7841796875,1806.805419921875,1812.49267578125,1780901
2023-03-01,1836.3287353515625,1836.3287353515625,1838.901611328125,1820.5220947265625,1822.741943359375,1579534
2023-03-02,1837.1798095703125,1837.1798095703125,1838.2254638671875,1829.6800537109375,1836.2786865234375,664179
2023-03-03,1854.2320556640625,1854.2320556640625,1854.4971923828125,1834.875732421875,1837.3016357421875,2231419
2023-03-04,1855.8477783203125,1855.8477783203125,1858.0291748046875,1853.103515625,1854.459716796875,426887
2023-03-05,1852.356201171875,1852.356201171875,1857.96923828125,1851.7320556640625,1855.685302734375,316838
2023-03-06,1849.4088134765625,1849.4088134765625,1857.5670166015625,1849.11376953125,1852.382080078125,428091
