Date,Actual,Forecast
2025-09-16,6606.759765625,6617.141704292118
2025-09-17,6600.35009765625,6639.952283448269
2025-09-18,6631.9599609375,6642.314517038246
2025-09-19,6664.35986328125,6632.77675489658
2025-09-22,6693.75,6642.69142505311
2025-09-23,6656.919921875,6657.438359943392
2025-09-24,6637.97021484375,6655.276171627023
2025-09-25,6604.72021484375,6653.367939032542
2025-09-26,6643.7001953125,6665.062384265913
2025-09-29,6661.2099609375,6673.205724956041
2025-09-30,6688.4599609375,6671.229502949197
2025-10-01,6711.2001953125,6674.612236576905
2025-10-02,6715.35009765625,6684.8549663825615
2025-10-03,6715.7900390625,6689.079482007143
2025-10-06,6740.27978515625,6689.24038577483
2025-10-07,6714.58984375,6695.264454349499
2025-10-08,6753.72021484375,6703.130368590749
2025-10-09,6735.10986328125,6705.804912441655
2025-10-10,6552.509765625,6708.26789345815
2025-10-13,6654.72021484375,6714.978329838451
2025-10-14,6644.31005859375,6720.8149886345
2025-10-15,6671.06005859375,6723.433981691951
2025-10-16,6629.06982421875,6727.550573693481
2025-10-17,6664.009765625,6733.899162558286
2025-10-20,6735.1298828125,6738.488456279857
2025-10-21,6735.35009765625,6741.706693303942
2025-10-22,6699.39990234375,6746.68394915127
2025-10-23,6738.43994140625,6752.336559047553
2025-10-24,6791.68994140625,6756.4014963826285
2025-10-27,6875.16015625,6760.311166955432
2025-10-28,6890.89013671875,6765.542109648202
